Day Ahead Market LMPs
07/16/2011

,,,All Hours-Ending are Eastern Standard Time (EST)
Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
ALTE.TOWNECT_2,Gennode,LMP,24.94,22.06,19.24,18.05,17.45,18.33,23.03,24.8,27.91,32.53,35.37,39.77,43.43,45.01,50.92,58.16,62.08,57.06,49.38,41.94,42.68,37.37,31.48,27.87
ALTE.TOWNEST11,Gennode,LMP,24.94,22.06,19.24,18.05,17.45,18.33,23.03,24.8,27.91,32.53,35.37,39.77,43.43,45.01,50.92,58.16,62.08,57.06,49.38,41.94,42.68,37.37,31.48,27.87
ALTE.TOWNEST12,Gennode,LMP,24.94,22.06,19.24,18.05,17.45,18.33,23.03,24.8,27.91,32.53,35.37,39.77,43.43,45.01,50.92,58.16,62.08,57.06,49.38,41.94,42.68,37.37,31.48,27.87
ALTE.TURTLE0R4,Gennode,LMP,24.98,22.09,19.26,18.07,17.46,18.35,23.21,24.99,28.13,32.79,35.67,40.1,43.81,45.49,51.43,58.75,62.7,57.59,49.84,42.35,43.15,37.73,31.56,27.93
ALTE.WOODCO_HY,Gennode,LMP,24.1,21.43,19.27,18.57,18.14,18.85,22.24,24.94,29.17,34.44,37.26,41.84,45.44,46.29,52.65,60.07,64.19,59.4,51.41,43.45,43.64,38.51,30.88,28.05
ALTE.WPPI_1.AZ,Hub,LMP,24.8,21.75,19.24,18.22,17.78,18.7,22.56,25.47,29.68,35.65,38.92,43.95,48.27,50.92,57.06,65.58,69.91,63.77,55.21,47.03,48.63,41.7,32.39,28.95
ALTW.8THST3,Gennode,LMP,23.46,19.95,17.37,16.15,15.84,17.02,17.31,21.57,26.06,33.58,36.82,41.37,45.64,48,52.23,60.59,65.95,57.82,47.1,46.59,49.66,41.56,32.15,28.26
ALTW.8THST4,Gennode,LMP,23.46,19.96,17.37,16.16,15.84,17.02,17.31,21.57,26.06,33.58,36.82,41.37,45.64,48,52.23,60.59,65.95,57.82,47.1,46.59,49.66,41.56,32.15,28.27
ALTW.ADAMSADAM,Gennode,LMP,21.1,18.12,16.48,15.97,15.85,16.74,18.96,22.34,27.73,33.97,37.77,40.97,45.28,48.85,55.09,62.82,66.55,60.37,52.86,44.9,46.73,39.36,29.71,26.49
ALTW.ALTW,Loadzone,LMP,22.46,19.24,17.3,16.57,16.4,17.36,18.61,22.45,27.92,34.91,38.88,42.99,47.89,52.99,59.17,67.68,71.62,64.75,56.76,47.5,50.29,41.69,31.26,28.06
ALTW.AMESWIND,Gennode,LMP,21.54,18.35,16.64,16.05,15.95,16.93,19.83,23.73,31.98,39.13,44.94,44.69,49.63,54.91,63.54,71.52,74.29,67.4,61.53,50.54,52.21,43.45,30.47,27.33
ALTW.AZ,Hub,LMP,22.45,19.25,17.33,16.62,16.45,17.4,18.68,22.5,27.97,34.93,38.91,43.02,47.93,53.03,59.23,67.75,71.67,64.82,56.85,47.5,50.29,41.71,31.25,28.07
ALTW.BART1NIPS,Gennode,LMP,21.44,18.4,16.83,16.37,16.28,17.18,19.18,22.61,29.44,35.81,40.6,41.58,46.01,50.16,57.67,65.15,68.14,61.98,55.8,46.27,47.7,40.06,30.33,27.19
ALTW.BART1WPPI,Gennode,LMP,21.44,18.4,16.83,16.37,16.28,17.18,19.18,22.61,29.44,35.81,40.6,41.58,46.01,50.16,57.67,65.15,68.14,61.98,55.8,46.27,47.7,40.06,30.33,27.19
ALTW.BARTON2,Gennode,LMP,21.44,18.4,16.83,16.37,16.28,17.18,19.18,22.61,29.44,35.81,40.6,41.58,46.01,50.16,57.67,65.15,68.14,61.98,55.8,46.27,47.7,40.06,30.33,27.19
ALTW.BENT_TREE,Gennode,LMP,20.89,17.91,16.42,16.02,15.95,16.83,19.5,22.88,28.89,35.18,39.41,41.83,46.25,50.13,56.93,64.69,68.21,61.92,54.78,46.12,47.86,40.25,29.66,26.58
ALTW.BRLGTN1,Gennode,LMP,24.75,22.02,19.59,18.6,18.15,18.7,19.87,23.42,28.69,35.55,39.73,43.83,48.97,54.42,60.28,69.15,73.47,65.69,56.88,49.25,52.71,43.22,32.29,29.26
ALTW.BRLGTN2,Gennode,LMP,24.75,22.02,19.59,18.6,18.15,18.7,19.87,23.42,28.69,35.55,39.73,43.83,48.97,54.42,60.28,69.15,73.47,65.69,56.88,49.25,52.71,43.22,32.29,29.26
ALTW.BRLGTN3,Gennode,LMP,24.75,22.02,19.59,18.6,18.15,18.7,19.87,23.42,28.69,35.55,39.73,43.83,48.97,54.42,60.28,69.15,73.47,65.69,56.88,49.25,52.71,43.22,32.29,29.26
ALTW.BRLGTN4,Gennode,LMP,24.75,22.02,19.59,18.6,18.15,18.7,19.87,23.42,28.69,35.55,39.73,43.83,48.97,54.42,60.28,69.15,73.47,65.69,56.88,49.25,52.71,43.22,32.29,29.26
ALTW.BRLGTN5,Gennode,LMP,24.72,22,19.57,18.58,18.13,18.68,19.85,23.39,28.64,35.49,39.66,43.75,48.88,54.34,60.18,69.04,73.35,65.58,56.79,49.17,52.63,43.15,32.25,29.22
ALTW.BROOKE1,Gennode,LMP,19.34,16.33,15.41,15.38,15.52,16.4,19.71,23.06,29.44,35.7,40.26,42.25,46.87,51.35,58.3,66.21,69.65,63.02,55.98,47.08,49.12,40.97,28.65,26.02
ALTW.BVRCH2,Gennode,LMP,23.23,19.55,16.75,15.32,14.98,16.29,16.46,20.75,25.43,33.08,36.57,41.48,46.24,50.92,56.08,64.54,68.92,61.7,52.85,46.12,49.35,40.42,31.82,27.82
ALTW.CC.EMERY1,Gennode,LMP,21.5,18.41,16.91,16.51,16.46,17.37,18.94,22.39,30.79,37.21,43.06,41.38,45.84,50.56,59.43,66.43,68.48,62.49,58.04,46.85,47.74,39.98,30.6,27.55
ALTW.CC.EMERY2,Gennode,LMP,21.5,18.41,16.91,16.51,16.46,17.37,18.94,22.39,30.79,37.21,43.06,41.38,45.84,50.56,59.43,66.43,68.48,62.49,58.04,46.85,47.74,39.98,30.6,27.55
ALTW.CC.SLAK1,Gennode,LMP,19.45,16.24,15.79,16.12,16.46,17.4,19.53,22.86,28.54,34.77,38.92,42.13,46.88,51.63,57.75,66,69.9,62.86,54.91,47.01,49.72,41.17,29.88,27.57
ALTW.CC.SLAK2,Gennode,LMP,19.45,16.24,15.79,16.12,16.46,17.4,19.53,22.86,28.54,34.77,38.92,42.13,46.88,51.63,57.75,66,69.9,62.86,54.91,47.01,49.72,41.17,29.88,27.57
ALTW.CERROG1,Gennode,LMP,21.17,18.09,16.67,16.31,16.29,17.2,19.06,22.51,30.74,37.16,42.91,41.59,46.08,50.81,59.51,66.62,68.82,62.74,58.01,47.02,48.05,40.21,30.29,27.29
ALTW.CMMPA.MTL,Loadzone,LMP,20.11,17.16,16.02,15.86,15.9,16.76,20.05,23.33,29.07,35.23,39.31,42.32,46.83,50.77,57.29,65.29,69.07,62.57,54.93,46.6,48.6,40.79,29.16,26.34
ALTW.CMMPA.SPR,Loadzone,LMP,20.44,17.48,16.31,16.14,16.17,17.03,20.71,24.06,29.95,36.25,40.45,43.57,48.22,52.3,58.99,67.24,71.14,64.44,56.55,47.99,50.07,42.01,29.56,26.73
ALTW.CMMPA.WIN,Loadzone,LMP,19.74,16.81,15.72,15.59,15.65,16.5,19.43,22.65,28.24,34.26,38.23,41.13,45.53,49.36,55.71,63.48,67.15,60.83,53.42,45.31,47.25,39.65,28.75,25.98
ALTW.CRLK2WPL,Gennode,LMP,21.49,18.42,16.89,16.47,16.4,17.3,19.17,22.62,30.16,36.56,41.83,41.66,46.12,50.54,58.67,65.97,68.57,62.45,56.99,46.71,47.92,40.19,30.48,27.39
ALTW.CRLKCWLP,Gennode,LMP,21.49,18.42,16.89,16.47,16.4,17.3,19.17,22.62,30.16,36.56,41.83,41.66,46.12,50.54,58.67,65.97,68.57,62.45,56.99,46.71,47.92,40.19,30.48,27.39
ALTW.CRLKIMPA,Gennode,LMP,21.49,18.42,16.89,16.47,16.4,17.3,19.17,22.62,30.16,36.56,41.83,41.66,46.12,50.54,58.67,65.97,68.57,62.45,56.99,46.71,47.92,40.19,30.48,27.39
ALTW.CRYLAKE2,Gennode,LMP,21.49,18.42,16.89,16.47,16.4,17.3,19.17,22.62,30.16,36.56,41.83,41.66,46.12,50.54,58.67,65.97,68.57,62.45,56.99,46.71,47.92,40.19,30.48,27.39
ALTW.CRYSTAL3,Gennode,LMP,21.49,18.42,16.89,16.47,16.4,17.3,19.17,22.62,30.16,36.56,41.83,41.66,46.12,50.54,58.67,65.97,68.57,62.45,56.99,46.71,47.92,40.19,30.48,27.39
ALTW.DAEC,Gennode,LMP,22.2,18.95,16.82,15.93,15.72,16.73,17.38,21.37,25.65,32.76,35.9,41.56,46.25,50.56,55.33,63.9,68.58,61.41,52.03,45.79,49.05,40.62,30.74,27.39
ALTW.EMERY31,Gennode,LMP,21.5,18.41,16.91,16.51,16.46,17.37,18.94,22.39,30.79,37.21,43.06,41.38,45.84,50.56,59.43,66.43,68.48,62.49,58.04,46.85,47.74,39.98,30.6,27.55
ALTW.EMERY32,Gennode,LMP,21.5,18.41,16.91,16.51,16.46,17.37,18.94,22.39,30.79,37.21,43.06,41.38,45.84,50.56,59.43,66.43,68.48,62.49,58.04,46.85,47.74,39.98,30.6,27.55
ALTW.EMERY_1,Gennode,LMP,21.5,18.41,16.91,16.51,16.46,17.37,18.94,22.39,30.79,37.21,43.06,41.38,45.84,50.56,59.43,66.43,68.48,62.49,58.04,46.85,47.74,39.98,30.6,27.55
ALTW.EMERY_2,Gennode,LMP,21.5,18.41,16.91,16.51,16.46,17.37,18.94,22.39,30.79,37.21,43.06,41.38,45.84,50.56,59.43,66.43,68.48,62.49,58.04,46.85,47.74,39.98,30.6,27.55
ALTW.ENDV,Gennode,LMP,19.6,16.63,15.62,15.54,15.63,16.5,19.24,22.49,28.39,34.45,38.65,41.03,45.46,49.53,56.09,63.8,67.28,60.93,53.84,45.45,47.38,39.66,28.76,26.05
ALTW.FAIR1,Gennode,LMP,23.29,19.98,17.47,16.31,15.98,17,16.78,21,25.94,33.45,37.09,41.76,46.6,51.47,56.74,65.26,69.6,62.27,53.47,46.59,49.89,41.06,31.6,28.04
ALTW.FAIR2,Gennode,LMP,23.29,19.98,17.47,16.31,15.98,17,16.78,21,25.94,33.45,37.09,41.76,46.6,51.47,56.74,65.26,69.6,62.27,53.47,46.59,49.89,41.06,31.6,28.04
ALTW.FAIRMONT1,Gennode,LMP,20.67,17.7,16.45,16.22,16.23,17.08,19.77,23.05,28.79,34.93,39,41.86,46.31,50.17,56.7,64.58,68.27,61.89,54.43,46.09,47.99,40.31,29.73,26.83
ALTW.FAIR_DSL,Gennode,LMP,20.7,17.73,16.48,16.25,16.26,17.11,19.81,23.1,28.85,35,39.08,41.95,46.41,50.28,56.82,64.72,68.42,62.02,54.54,46.19,48.09,40.4,29.78,26.88
ALTW.FAIR_ST,Gennode,LMP,20.7,17.73,16.48,16.25,16.26,17.11,19.81,23.1,28.85,35,39.08,41.95,46.41,50.28,56.82,64.72,68.42,62.02,54.54,46.19,48.09,40.4,29.78,26.88
ALTW.FCLDFCL1,Gennode,LMP,19.65,16.67,15.66,15.58,15.67,16.54,19.32,22.57,28.53,34.62,38.86,41.19,45.65,49.75,56.37,64.1,67.58,61.2,54.11,45.66,47.6,39.83,28.82,26.12
ALTW.FOXLK1,Gennode,LMP,19.85,16.92,15.78,15.62,15.66,16.52,19,22.19,27.7,33.65,37.56,40.35,44.64,48.37,54.64,62.25,65.82,59.66,52.44,44.43,46.28,38.87,28.82,26.01
ALTW.FOXLK3,Gennode,LMP,19.87,16.93,15.8,15.64,15.68,16.54,19.01,22.2,27.72,33.67,37.59,40.36,44.66,48.4,54.68,62.29,65.85,59.69,52.47,44.45,46.31,38.89,28.85,26.04
ALTW.FPL_DAEC,Gennode,LMP,22.2,18.95,16.82,15.93,15.72,16.73,17.38,21.37,25.65,32.76,35.9,41.56,46.25,50.56,55.33,63.9,68.58,61.41,52.03,45.79,49.05,40.62,30.74,27.39
ALTW.GRCT1,Gennode,LMP,21.49,18.3,16.99,16.71,16.75,17.65,18.62,22.22,27.48,34.05,37.89,41.83,46.55,51.15,56.85,65.17,69.29,62.24,53.87,46.5,49.37,40.88,30.95,28.24
ALTW.GRCT2,Gennode,LMP,21.49,18.3,16.99,16.71,16.75,17.65,18.62,22.22,27.48,34.05,37.89,41.83,46.55,51.15,56.85,65.17,69.29,62.24,53.87,46.5,49.37,40.88,30.95,28.24
ALTW.HANCCWLP,Gennode,LMP,20.82,17.75,16.4,16.1,16.09,17,19.21,22.66,30.7,37.12,42.76,41.82,46.36,51.1,59.62,66.86,69.21,63.03,58.01,47.23,48.39,40.47,29.94,27
ALTW.HANCOC1,Gennode,LMP,20.82,17.75,16.4,16.1,16.09,17,19.21,22.66,30.7,37.12,42.76,41.82,46.36,51.1,59.62,66.86,69.21,63.03,58.01,47.23,48.39,40.47,29.94,27
ALTW.HANCO_CF,Gennode,LMP,20.82,17.75,16.4,16.1,16.09,17,19.21,22.66,30.7,37.12,42.76,41.82,46.36,51.1,59.62,66.86,69.21,63.03,58.01,47.23,48.39,40.47,29.94,27
ALTW.HANCO_PE,Gennode,LMP,20.82,17.75,16.4,16.1,16.09,17,19.21,22.66,30.7,37.12,42.76,41.82,46.36,51.1,59.62,66.86,69.21,63.03,58.01,47.23,48.39,40.47,29.94,27
ALTW.HCPD.TRU,Loadzone,LMP,20.73,17.75,16.51,16.29,16.29,17.15,19.94,23.24,28.99,35.15,39.24,42.16,46.64,50.53,57.08,65.02,68.76,62.33,54.77,46.41,48.34,40.61,29.81,26.92
ALTW.INDYGEN,Gennode,LMP,22.26,19.07,17.1,16.35,16.17,17.14,18.63,22.45,24.78,31.61,33.4,42.92,47.75,51.92,55.49,64.84,70.47,63.58,52.51,45.57,49.34,41.18,30.99,27.64
ALTW.JOULGSCIP,Gennode,LMP,22.52,19.17,16.76,15.63,15.35,16.42,16.06,20.36,25.25,32.73,36.21,40.94,45.64,50.27,55.38,63.73,68.04,60.91,52.2,45.54,48.72,39.89,30.85,27.38
ALTW.JOULGSIPL,Gennode,LMP,22.52,19.17,16.76,15.63,15.35,16.42,16.06,20.36,25.25,32.73,36.21,40.94,45.64,50.27,55.38,63.73,68.04,60.91,52.2,45.54,48.72,39.89,30.85,27.38
ALTW.JOUNEAL3,Gennode,LMP,18.55,15.56,14.87,15.01,15.21,16.1,18.34,21.47,26.95,32.79,36.72,39.36,43.69,47.78,53.81,61.34,64.83,58.54,51.44,43.71,45.85,38.21,27.98,25.53
ALTW.JOUNEALS4,Gennode,LMP,18.52,15.53,14.85,14.98,15.19,16.07,18.31,21.44,26.91,32.74,36.67,39.31,43.63,47.71,53.73,61.25,64.73,58.46,51.37,43.65,45.78,38.15,27.94,25.49
ALTW.LANSIN3,Gennode,LMP,21.99,18.96,17.04,16.35,16.14,17.06,18.98,22.41,26.69,32.99,36.05,41.09,45.36,48.5,53.82,61.86,66.23,59.96,51.28,44.45,46.61,39.38,30.07,27.03
ALTW.LANSIN4,Gennode,LMP,21.99,18.95,17.04,16.35,16.14,17.06,18.97,22.39,26.68,32.98,36.03,41.07,45.34,48.47,53.79,61.83,66.2,59.93,51.25,44.43,46.59,39.36,30.06,27.03
ALTW.LIMEC1,Gennode,LMP,21.54,18.47,16.95,16.54,16.48,17.38,19.18,22.62,30.37,36.77,42.18,41.68,46.15,50.65,58.96,66.2,68.69,62.58,57.34,46.84,47.98,40.23,30.59,27.51
ALTW.LIMEC2,Gennode,LMP,21.54,18.47,16.95,16.54,16.48,17.38,19.18,22.62,30.37,36.77,42.18,41.68,46.15,50.65,58.96,66.2,68.69,62.58,57.34,46.84,47.98,40.23,30.59,27.51
ALTW.LKFLD.IPL,Gennode,LMP,19.39,16.48,15.44,15.33,15.4,16.25,18.64,21.75,27.06,32.87,36.64,39.53,43.74,47.37,53.43,60.91,64.47,58.41,51.23,43.49,45.35,38.09,28.34,25.59
ALTW.LOSTLAKES,Gennode,LMP,19.61,16.63,15.63,15.56,15.65,16.53,19.28,22.54,28.52,34.61,38.87,41.16,45.61,49.75,56.38,64.1,67.56,61.18,54.12,45.65,47.59,39.81,28.81,26.12
ALTW.MECB,Loadzone,LMP,20.53,17.33,16.47,16.51,16.7,17.62,18.99,22.44,27.85,34.21,38.15,41.8,46.52,51.16,56.99,65.26,69.29,62.26,54.08,46.53,49.34,40.85,30.52,28.04
ALTW.MECB_1.AZ,Hub,LMP,20.63,17.43,16.53,16.54,16.72,17.64,19,22.47,27.87,34.26,38.2,41.88,46.61,51.26,57.08,65.37,69.42,62.38,54.16,46.62,49.43,40.93,30.59,28.09
ALTW.MMPA.OGWF,Gennode,LMP,21.62,18.65,17.1,16.67,16.57,17.43,19.82,23.15,28.62,34.82,38.68,41.98,46.37,49.92,56.32,64.22,68.06,61.78,54.07,45.92,47.73,40.27,30.03,27.31
ALTW.MONTAL1,Gennode,LMP,22.18,19.23,17.68,17.28,17.17,18,21.65,25.04,30.32,36.38,39.52,43.6,47.91,51.36,57.48,65.93,70.29,63.8,55.54,47.4,49.69,41.94,30.64,27.97
ALTW.MQOKTAGEN,Gennode,LMP,23.19,19.66,17.08,15.84,15.54,16.73,16.59,21.02,25.84,33.55,36.97,42.11,46.87,51.34,56.53,65.09,69.6,62.4,53.32,46.57,49.71,41.16,31.81,28.02
ALTW.MRES,Loadzone,LMP,19.84,16.89,15.84,15.74,15.81,16.66,19.94,23.21,28.93,35.05,39.13,42.12,46.63,50.64,57.1,65.09,68.85,62.34,54.72,46.45,48.49,40.65,28.95,26.21
